Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7
Migraine,sensitivity to light,vomiting,nausea,sensitivity to sound,,,
Dengue Fever,muscle pain,nausea,rash,severe headache,high fever,joint pain,
Tuberculosis,fatigue,coughing up blood,chest pain,persistent cough,night sweats,,
Influenza,fever,headache,cough,chills,,,
Influenza,fever,headache,runny nose,body aches,fatigue,cough,chills
Urinary Tract Infection,fever,chills,cloudy urine,frequent urination,pelvic pain,,
Typhoid,diarrhea,rash,high fever,,,,
Tuberculosis,persistent cough,fatigue,weight loss,,,,
Measles,fever,cough,rash,,,,
Gastroenteritis,fatigue,diarrhea,stomach cramps,fever,vomiting,loss of appetite,nausea
Common Cold,congestion,mild fever,sore throat,fatigue,cough,,
Common Cold,cough,runny nose,mild fever,sneezing,fatigue,,
Influenza,cough,fatigue,runny nose,,,,
Hepatitis B,jaundice,nausea,joint pain,,,,
Migraine,nausea,fatigue,severe headache,sensitivity to light,vomiting,blurred vision,
Asthma,coughing,shortness of breath,chest tightness,wheezing,fatigue,,
Asthma,shortness of breath,coughing,chest tightness,,,,
Typhoid,rash,constipation,diarrhea,stomach pain,high fever,headache,
Influenza,sore throat,cough,fatigue,body aches,,,
Arthritis,warmth in joints,fatigue,joint pain,,,,
Urinary Tract Infection,fever,pelvic pain,cloudy urine,,,,
Urinary Tract Infection,pelvic pain,burning urination,frequent urination,fever,,,
Hypertension,blurred vision,fatigue,headache,nosebleed,,,
Chicken Pox,blisters,loss of appetite,itchiness,,,,
Diabetes,weight loss,numbness in feet,excessive thirst,fatigue,frequent urination,blurred vision,
Tuberculosis,coughing up blood,weight loss,fatigue,night sweats,,,
Common Cold,fatigue,sneezing,cough,runny nose,,,
Measles,rash,fever,runny nose,cough,red eyes,sensitivity to light,
Appendicitis,nausea,loss of appetite,severe abdominal pain,fever,,,
Hypertension,fatigue,shortness of breath,dizziness,,,,
Hypertension,chest pain,nosebleed,headache,dizziness,fatigue,,
Dengue Fever,muscle pain,rash,fatigue,severe headache,,,
Typhoid,stomach pain,rash,diarrhea,headache,,,
Measles,sensitivity to light,fever,runny nose,red eyes,rash,fatigue,
Influenza,fever,headache,fatigue,,,,
Chicken Pox,blisters,itchiness,fatigue,,,,
Pneumonia,shortness of breath,chills,cough,rapid breathing,,,
Common Cold,congestion,cough,runny nose,sneezing,sore throat,mild fever,fatigue
Pneumonia,chest pain,fever,rapid breathing,chills,shortness of breath,,
Anemia,chest pain,shortness of breath,fatigue,weakness,,,
Appendicitis,loss of appetite,nausea,bloating,severe abdominal pain,fever,,
Arthritis,swelling,fatigue,reduced range of motion,stiffness,warmth in joints,,
Hypertension,fatigue,blurred vision,chest pain,nosebleed,dizziness,,
Urinary Tract Infection,pelvic pain,cloudy urine,chills,burning urination,frequent urination,fever,
Pneumonia,fever,shortness of breath,fatigue,cough,,,
Influenza,sore throat,fever,headache,cough,,,
Chicken Pox,itchiness,loss of appetite,headache,fatigue,blisters,,
Common Cold,mild fever,runny nose,sneezing,congestion,sore throat,fatigue,
Arthritis,fatigue,reduced range of motion,swelling,,,,
Arthritis,stiffness,reduced range of motion,fatigue,joint pain,swelling,warmth in joints,
Appendicitis,bloating,nausea,vomiting,loss of appetite,fever,,
COVID-19,shortness of breath,loss of smell,loss of taste,,,,
Hypertension,shortness of breath,nosebleed,fatigue,blurred vision,headache,chest pain,dizziness
Gastroenteritis,vomiting,nausea,loss of appetite,,,,
Diabetes,numbness in feet,excessive thirst,slow healing wounds,weight loss,fatigue,blurred vision,frequent urination
Typhoid,weakness,diarrhea,headache,,,,
Pneumonia,fever,rapid breathing,cough,chills,shortness of breath,chest pain,fatigue
Influenza,headache,body aches,fever,sore throat,fatigue,runny nose,cough
Common Cold,sore throat,congestion,fatigue,mild fever,sneezing,runny nose,cough
Migraine,blurred vision,severe headache,sensitivity to light,,,,
Gastroenteritis,stomach cramps,diarrhea,nausea,vomiting,fever,fatigue,loss of appetite
COVID-19,fatigue,cough,body aches,headache,shortness of breath,,
Hepatitis B,vomiting,joint pain,abdominal pain,,,,
Hypertension,blurred vision,nosebleed,headache,chest pain,dizziness,fatigue,
Pneumonia,chills,shortness of breath,rapid breathing,cough,,,
Measles,runny nose,fatigue,fever,,,,
Anemia,weakness,cold hands,shortness of breath,dizziness,,,
Anemia,pale skin,cold hands,weakness,,,,
Appendicitis,bloating,fever,loss of appetite,vomiting,severe abdominal pain,,
Malaria,vomiting,sweating,chills,muscle pain,fatigue,,
Chicken Pox,loss of appetite,fever,fatigue,itchiness,rash,,
Malaria,muscle pain,vomiting,headache,chills,nausea,,
Pneumonia,chills,fatigue,rapid breathing,shortness of breath,chest pain,cough,
Chicken Pox,loss of appetite,headache,blisters,rash,itchiness,fatigue,
Typhoid,constipation,high fever,rash,headache,stomach pain,weakness,loss of appetite
Gastroenteritis,stomach cramps,loss of appetite,vomiting,diarrhea,fever,nausea,fatigue
Common Cold,cough,sneezing,fatigue,congestion,runny nose,mild fever,sore throat
Diabetes,weight loss,slow healing wounds,numbness in feet,frequent urination,,,
Pneumonia,fever,fatigue,rapid breathing,chills,,,
Pneumonia,shortness of breath,fatigue,chills,chest pain,rapid breathing,cough,
Measles,fatigue,sensitivity to light,cough,,,,
Hypertension,headache,chest pain,shortness of breath,blurred vision,dizziness,nosebleed,
Urinary Tract Infection,chills,pelvic pain,cloudy urine,burning urination,frequent urination,,
Malaria,headache,fever,chills,vomiting,muscle pain,,
Hepatitis B,joint pain,dark urine,abdominal pain,jaundice,vomiting,nausea,fatigue
Pneumonia,shortness of breath,cough,chest pain,fever,fatigue,rapid breathing,chills
Asthma,shortness of breath,chest tightness,fatigue,coughing,wheezing,,
Urinary Tract Infection,fever,cloudy urine,chills,frequent urination,,,
Chicken Pox,blisters,loss of appetite,fever,fatigue,rash,itchiness,headache
Appendicitis,nausea,loss of appetite,bloating,,,,
Migraine,blurred vision,vomiting,severe headache,sensitivity to light,,,
Measles,rash,fever,fatigue,red eyes,sensitivity to light,runny nose,cough
Asthma,coughing,fatigue,chest tightness,wheezing,,,
Urinary Tract Infection,cloudy urine,fever,pelvic pain,chills,burning urination,frequent urination,
Hepatitis B,jaundice,joint pain,dark urine,fatigue,abdominal pain,vomiting,
COVID-19,cough,body aches,shortness of breath,loss of smell,,,
COVID-19,headache,fever,loss of taste,fatigue,cough,,
Migraine,sensitivity to light,blurred vision,vomiting,nausea,severe headache,,
COVID-19,shortness of breath,loss of taste,headache,,,,
Typhoid,weakness,rash,stomach pain,,,,
Migraine,severe headache,sensitivity to light,blurred vision,sensitivity to sound,fatigue,vomiting,
Appendicitis,fever,loss of appetite,bloating,nausea,severe abdominal pain,,
Asthma,coughing,chest tightness,fatigue,wheezing,shortness of breath,,
Migraine,blurred vision,fatigue,severe headache,sensitivity to light,nausea,sensitivity to sound,vomiting
Common Cold,congestion,mild fever,cough,runny nose,sneezing,sore throat,
Common Cold,cough,runny nose,fatigue,sneezing,sore throat,,
Anemia,weakness,pale skin,shortness of breath,,,,
Urinary Tract Infection,cloudy urine,pelvic pain,frequent urination,fever,,,
Dengue Fever,nausea,high fever,vomiting,joint pain,rash,severe headache,muscle pain
Diabetes,fatigue,slow healing wounds,weight loss,,,,
Measles,fatigue,cough,sensitivity to light,fever,runny nose,red eyes,rash
Pneumonia,fatigue,chills,chest pain,cough,rapid breathing,shortness of breath,
Dengue Fever,muscle pain,nausea,severe headache,rash,,,
Urinary Tract Infection,fever,cloudy urine,chills,pelvic pain,frequent urination,burning urination,
COVID-19,headache,shortness of breath,loss of taste,fever,body aches,fatigue,cough
Malaria,chills,vomiting,fever,,,,
Measles,red eyes,runny nose,fatigue,fever,cough,sensitivity to light,rash
Migraine,fatigue,severe headache,blurred vision,sensitivity to light,sensitivity to sound,vomiting,nausea
Tuberculosis,fever,weight loss,persistent cough,fatigue,night sweats,,
Arthritis,swelling,stiffness,fatigue,warmth in joints,reduced range of motion,joint pain,
Measles,red eyes,fatigue,sensitivity to light,runny nose,rash,fever,cough
Appendicitis,severe abdominal pain,loss of appetite,bloating,vomiting,fever,nausea,
Common Cold,sore throat,fatigue,sneezing,mild fever,runny nose,congestion,cough
Influenza,sore throat,chills,runny nose,cough,fatigue,headache,
Common Cold,cough,mild fever,sneezing,sore throat,fatigue,,
Malaria,sweating,fatigue,nausea,fever,vomiting,,
Malaria,muscle pain,chills,nausea,fatigue,vomiting,headache,
Measles,rash,runny nose,sensitivity to light,fever,cough,,
Measles,sensitivity to light,fatigue,rash,runny nose,cough,red eyes,fever
Measles,rash,sensitivity to light,cough,red eyes,fever,,
Measles,cough,fever,red eyes,fatigue,rash,runny nose,sensitivity to light
Diabetes,numbness in feet,slow healing wounds,weight loss,,,,
Anemia,cold hands,fatigue,chest pain,,,,
Hepatitis B,dark urine,nausea,jaundice,fatigue,joint pain,vomiting,abdominal pain
Influenza,cough,chills,runny nose,fatigue,sore throat,body aches,
Arthritis,fatigue,swelling,reduced range of motion,joint pain,,,
Hepatitis B,dark urine,jaundice,joint pain,vomiting,fatigue,abdominal pain,
Chicken Pox,loss of appetite,fever,itchiness,,,,
Hepatitis B,dark urine,nausea,abdominal pain,,,,
Anemia,weakness,cold hands,fatigue,shortness of breath,chest pain,dizziness,
Common Cold,fatigue,congestion,mild fever,runny nose,cough,sore throat,sneezing
Tuberculosis,chest pain,fatigue,coughing up blood,fever,,,
Influenza,sore throat,fever,cough,runny nose,body aches,headache,fatigue
Hepatitis B,fatigue,abdominal pain,vomiting,jaundice,nausea,dark urine,joint pain
Malaria,chills,sweating,fatigue,vomiting,muscle pain,fever,
Measles,fever,rash,fatigue,cough,sensitivity to light,,
COVID-19,loss of smell,fatigue,cough,shortness of breath,body aches,,
Hypertension,chest pain,shortness of breath,nosebleed,headache,fatigue,blurred vision,dizziness
Arthritis,stiffness,fatigue,warmth in joints,,,,
Urinary Tract Infection,cloudy urine,chills,burning urination,,,,
Pneumonia,fatigue,chills,shortness of breath,rapid breathing,,,
Influenza,fatigue,cough,sore throat,,,,
Hypertension,fatigue,chest pain,shortness of breath,dizziness,blurred vision,,
Tuberculosis,chest pain,weight loss,fever,,,,
Gastroenteritis,fatigue,vomiting,stomach cramps,loss of appetite,diarrhea,fever,
Pneumonia,fatigue,chills,chest pain,fever,,,
Diabetes,fatigue,weight loss,frequent urination,blurred vision,numbness in feet,slow healing wounds,excessive thirst
COVID-19,headache,fever,fatigue,cough,,,
Migraine,blurred vision,sensitivity to sound,fatigue,vomiting,severe headache,nausea,
Influenza,body aches,fatigue,runny nose,cough,sore throat,,
Migraine,fatigue,sensitivity to light,vomiting,,,,
Influenza,cough,fever,fatigue,sore throat,,,
Appendicitis,vomiting,bloating,fever,severe abdominal pain,loss of appetite,,
Dengue Fever,joint pain,muscle pain,vomiting,,,,
Common Cold,fatigue,sneezing,mild fever,,,,
Malaria,fatigue,vomiting,sweating,headache,chills,nausea,muscle pain
Influenza,cough,chills,headache,,,,
Asthma,shortness of breath,chest tightness,wheezing,coughing,,,
Asthma,shortness of breath,wheezing,fatigue,,,,
Chicken Pox,fever,rash,itchiness,loss of appetite,,,
Malaria,fatigue,fever,nausea,vomiting,sweating,chills,
Hypertension,fatigue,dizziness,headache,blurred vision,,,
Dengue Fever,severe headache,rash,vomiting,muscle pain,joint pain,,
Hepatitis B,jaundice,fatigue,abdominal pain,nausea,vomiting,joint pain,dark urine
Tuberculosis,fatigue,chest pain,fever,weight loss,,,
Dengue Fever,high fever,nausea,muscle pain,,,,
Gastroenteritis,diarrhea,loss of appetite,vomiting,nausea,fatigue,fever,
Diabetes,slow healing wounds,frequent urination,numbness in feet,fatigue,,,
Chicken Pox,headache,blisters,fever,rash,itchiness,,
Anemia,chest pain,shortness of breath,pale skin,fatigue,,,
Asthma,chest tightness,shortness of breath,coughing,wheezing,,,
Asthma,shortness of breath,wheezing,chest tightness,,,,
Urinary Tract Infection,pelvic pain,burning urination,cloudy urine,,,,
Dengue Fever,joint pain,nausea,rash,severe headache,vomiting,high fever,fatigue
Gastroenteritis,loss of appetite,nausea,fatigue,diarrhea,vomiting,stomach cramps,fever
Gastroenteritis,fever,fatigue,stomach cramps,loss of appetite,,,
Common Cold,congestion,fatigue,mild fever,sore throat,sneezing,cough,
Gastroenteritis,fatigue,vomiting,diarrhea,fever,loss of appetite,nausea,
Chicken Pox,fatigue,loss of appetite,blisters,rash,itchiness,headache,fever
Gastroenteritis,fatigue,stomach cramps,vomiting,nausea,loss of appetite,,
Migraine,vomiting,severe headache,nausea,fatigue,sensitivity to sound,sensitivity to light,blurred vision
Dengue Fever,nausea,rash,joint pain,vomiting,fatigue,muscle pain,severe headache
Typhoid,constipation,high fever,diarrhea,,,,
Dengue Fever,severe headache,rash,joint pain,muscle pain,vomiting,fatigue,nausea
Measles,fatigue,fever,runny nose,red eyes,rash,sensitivity to light,cough
Measles,rash,fever,red eyes,fatigue,cough,runny nose,sensitivity to light
Appendicitis,nausea,bloating,severe abdominal pain,loss of appetite,fever,vomiting,
Malaria,vomiting,fever,sweating,,,,
Diabetes,slow healing wounds,excessive thirst,weight loss,blurred vision,numbness in feet,fatigue,frequent urination
Measles,fever,red eyes,rash,sensitivity to light,,,
COVID-19,shortness of breath,fever,fatigue,,,,
COVID-19,body aches,loss of taste,shortness of breath,headache,loss of smell,fatigue,
Urinary Tract Infection,pelvic pain,fever,frequent urination,burning urination,,,
Urinary Tract Infection,pelvic pain,cloudy urine,frequent urination,fever,chills,burning urination,
Tuberculosis,night sweats,fatigue,persistent cough,coughing up blood,fever,chest pain,
Anemia,fatigue,cold hands,pale skin,chest pain,shortness of breath,dizziness,weakness
Influenza,runny nose,body aches,cough,chills,fever,sore throat,
Dengue Fever,joint pain,severe headache,rash,vomiting,,,
Hepatitis B,jaundice,nausea,vomiting,fatigue,abdominal pain,,
Asthma,chest tightness,shortness of breath,fatigue,,,,
COVID-19,fatigue,cough,loss of smell,shortness of breath,loss of taste,fever,
Gastroenteritis,stomach cramps,fatigue,diarrhea,vomiting,,,
COVID-19,cough,fever,fatigue,body aches,headache,shortness of breath,loss of taste
Asthma,wheezing,coughing,fatigue,,,,
Chicken Pox,headache,itchiness,blisters,fever,rash,,
Urinary Tract Infection,fever,chills,cloudy urine,burning urination,frequent urination,,
Hepatitis B,nausea,dark urine,vomiting,fatigue,abdominal pain,jaundice,joint pain
Chicken Pox,loss of appetite,headache,itchiness,,,,
Dengue Fever,nausea,rash,joint pain,severe headache,muscle pain,vomiting,fatigue
Appendicitis,bloating,nausea,loss of appetite,vomiting,fever,severe abdominal pain,
COVID-19,cough,loss of taste,fever,body aches,headache,fatigue,shortness of breath
Diabetes,excessive thirst,blurred vision,weight loss,frequent urination,slow healing wounds,fatigue,
Hepatitis B,nausea,vomiting,jaundice,fatigue,,,
Typhoid,weakness,headache,constipation,,,,
Malaria,muscle pain,sweating,headache,fever,nausea,vomiting,fatigue
Chicken Pox,rash,itchiness,blisters,loss of appetite,fatigue,fever,
Tuberculosis,night sweats,coughing up blood,fatigue,fever,weight loss,,
Measles,red eyes,sensitivity to light,fever,cough,rash,fatigue,runny nose
Migraine,nausea,vomiting,sensitivity to light,,,,
Malaria,muscle pain,fever,sweating,headache,,,
Chicken Pox,headache,fatigue,rash,,,,
Gastroenteritis,loss of appetite,fever,diarrhea,fatigue,,,
Gastroenteritis,diarrhea,nausea,stomach cramps,loss of appetite,vomiting,fatigue,fever
Pneumonia,chills,fatigue,rapid breathing,shortness of breath,cough,fever,
Pneumonia,cough,rapid breathing,chills,,,,
Urinary Tract Infection,burning urination,cloudy urine,pelvic pain,frequent urination,chills,,
Influenza,fever,cough,runny nose,fatigue,body aches,,
Appendicitis,bloating,fever,nausea,loss of appetite,severe abdominal pain,,
Measles,cough,fever,sensitivity to light,,,,
Migraine,blurred vision,vomiting,fatigue,sensitivity to light,nausea,,
Anemia,shortness of breath,chest pain,cold hands,dizziness,weakness,pale skin,
Chicken Pox,rash,blisters,loss of appetite,fever,itchiness,fatigue,
Appendicitis,bloating,nausea,vomiting,loss of appetite,,,
Malaria,headache,sweating,muscle pain,fatigue,,,
Hypertension,dizziness,blurred vision,chest pain,shortness of breath,headache,nosebleed,
Gastroenteritis,vomiting,loss of appetite,diarrhea,stomach cramps,nausea,,
Hypertension,fatigue,headache,shortness of breath,nosebleed,dizziness,blurred vision,
Influenza,fatigue,fever,body aches,runny nose,headache,chills,cough
Tuberculosis,coughing up blood,persistent cough,fever,weight loss,night sweats,fatigue,chest pain
Hypertension,dizziness,nosebleed,shortness of breath,chest pain,fatigue,blurred vision,headache
Urinary Tract Infection,frequent urination,cloudy urine,fever,burning urination,pelvic pain,,
Influenza,body aches,cough,chills,headache,runny nose,fever,
Dengue Fever,muscle pain,rash,severe headache,,,,
Typhoid,weakness,headache,stomach pain,rash,constipation,diarrhea,
Migraine,vomiting,nausea,blurred vision,sensitivity to light,fatigue,sensitivity to sound,severe headache
Dengue Fever,vomiting,fatigue,joint pain,severe headache,nausea,,
Urinary Tract Infection,cloudy urine,chills,burning urination,pelvic pain,,,
Chicken Pox,blisters,itchiness,fever,,,,
Hepatitis B,vomiting,nausea,joint pain,abdominal pain,fatigue,jaundice,dark urine
COVID-19,loss of taste,shortness of breath,headache,,,,
Asthma,fatigue,chest tightness,coughing,,,,
Arthritis,reduced range of motion,fatigue,warmth in joints,stiffness,joint pain,swelling,
Anemia,fatigue,dizziness,weakness,pale skin,cold hands,shortness of breath,chest pain
Malaria,muscle pain,fever,sweating,vomiting,chills,fatigue,
Migraine,blurred vision,vomiting,severe headache,,,,
Malaria,fever,headache,muscle pain,nausea,,,
COVID-19,fever,cough,headache,body aches,loss of taste,fatigue,
Gastroenteritis,fever,diarrhea,stomach cramps,,,,
Measles,sensitivity to light,rash,fever,fatigue,,,
Hypertension,fatigue,headache,dizziness,chest pain,nosebleed,blurred vision,
Dengue Fever,nausea,rash,vomiting,muscle pain,,,
Hypertension,headache,nosebleed,shortness of breath,chest pain,,,
Asthma,coughing,shortness of breath,chest tightness,wheezing,fatigue,,
COVID-19,headache,loss of smell,fatigue,shortness of breath,,,
Malaria,nausea,vomiting,chills,,,,
Influenza,body aches,headache,cough,fever,sore throat,fatigue,runny nose
Dengue Fever,fatigue,muscle pain,joint pain,rash,,,
Hepatitis B,dark urine,joint pain,nausea,fatigue,abdominal pain,,
COVID-19,cough,loss of taste,fever,fatigue,headache,loss of smell,body aches
Influenza,chills,fatigue,cough,runny nose,sore throat,fever,
Urinary Tract Infection,cloudy urine,chills,pelvic pain,frequent urination,burning urination,fever,
Hepatitis B,joint pain,abdominal pain,nausea,jaundice,,,
Anemia,fatigue,cold hands,chest pain,shortness of breath,,,
Pneumonia,fatigue,chest pain,cough,shortness of breath,,,
Tuberculosis,fever,persistent cough,night sweats,chest pain,weight loss,coughing up blood,fatigue
COVID-19,headache,loss of taste,fever,fatigue,body aches,cough,
Diabetes,frequent urination,blurred vision,numbness in feet,excessive thirst,fatigue,,
Influenza,runny nose,sore throat,headache,fever,chills,,
Malaria,fatigue,fever,chills,muscle pain,headache,sweating,nausea
Hepatitis B,jaundice,joint pain,nausea,,,,
Typhoid,weakness,headache,constipation,diarrhea,stomach pain,loss of appetite,
Anemia,pale skin,chest pain,dizziness,,,,
Gastroenteritis,loss of appetite,fatigue,nausea,fever,diarrhea,vomiting,
Typhoid,rash,weakness,constipation,,,,
Dengue Fever,high fever,rash,severe headache,vomiting,fatigue,muscle pain,nausea
Migraine,fatigue,sensitivity to sound,vomiting,sensitivity to light,nausea,severe headache,blurred vision
Typhoid,constipation,headache,high fever,,,,
Asthma,chest tightness,shortness of breath,coughing,fatigue,wheezing,,
Appendicitis,nausea,loss of appetite,severe abdominal pain,fever,vomiting,,
Migraine,nausea,blurred vision,severe headache,,,,
Hepatitis B,abdominal pain,jaundice,joint pain,nausea,vomiting,,
Arthritis,stiffness,joint pain,warmth in joints,reduced range of motion,swelling,,
Common Cold,congestion,mild fever,sneezing,sore throat,cough,fatigue,
Hypertension,fatigue,blurred vision,dizziness,nosebleed,,,
Anemia,shortness of breath,pale skin,fatigue,,,,
Appendicitis,loss of appetite,bloating,severe abdominal pain,nausea,fever,,
Tuberculosis,night sweats,coughing up blood,persistent cough,weight loss,chest pain,fever,fatigue
Malaria,nausea,fatigue,vomiting,muscle pain,,,
Malaria,nausea,fever,headache,vomiting,fatigue,sweating,muscle pain
Arthritis,warmth in joints,stiffness,joint pain,fatigue,swelling,,
Common Cold,cough,runny nose,fatigue,sore throat,congestion,sneezing,mild fever
Tuberculosis,night sweats,fatigue,coughing up blood,persistent cough,,,
Pneumonia,fever,fatigue,chest pain,,,,
Typhoid,rash,loss of appetite,diarrhea,,,,
Malaria,nausea,fatigue,muscle pain,vomiting,chills,sweating,fever
Hepatitis B,vomiting,jaundice,joint pain,dark urine,nausea,,
Influenza,fatigue,chills,cough,,,,
Hypertension,dizziness,nosebleed,fatigue,,,,
Diabetes,slow healing wounds,frequent urination,excessive thirst,weight loss,numbness in feet,,
Anemia,shortness of breath,weakness,dizziness,fatigue,,,
Chicken Pox,rash,fever,itchiness,fatigue,headache,blisters,
Hypertension,headache,blurred vision,nosebleed,dizziness,shortness of breath,chest pain,
Migraine,nausea,sensitivity to sound,sensitivity to light,,,,
Urinary Tract Infection,cloudy urine,frequent urination,pelvic pain,chills,burning urination,fever,
Pneumonia,shortness of breath,chest pain,rapid breathing,cough,,,
Influenza,headache,runny nose,sore throat,body aches,,,
Asthma,shortness of breath,chest tightness,fatigue,,,,
Pneumonia,shortness of breath,fever,fatigue,cough,rapid breathing,,
Asthma,fatigue,shortness of breath,coughing,chest tightness,wheezing,,
Tuberculosis,fever,chest pain,coughing up blood,weight loss,persistent cough,night sweats,
Dengue Fever,rash,high fever,fatigue,,,,
Gastroenteritis,stomach cramps,fatigue,diarrhea,vomiting,nausea,loss of appetite,fever
COVID-19,cough,fever,body aches,headache,,,
Anemia,pale skin,shortness of breath,dizziness,cold hands,weakness,chest pain,fatigue
Measles,fever,runny nose,sensitivity to light,red eyes,fatigue,cough,
Migraine,sensitivity to sound,sensitivity to light,severe headache,,,,
Anemia,cold hands,fatigue,pale skin,dizziness,,,
Hypertension,chest pain,headache,nosebleed,,,,
Measles,fatigue,red eyes,fever,runny nose,,,
Malaria,sweating,nausea,vomiting,fever,,,
Diabetes,numbness in feet,weight loss,fatigue,slow healing wounds,frequent urination,blurred vision,excessive thirst
COVID-19,headache,fever,loss of smell,loss of taste,cough,fatigue,
Tuberculosis,fever,fatigue,persistent cough,,,,
Hepatitis B,jaundice,vomiting,fatigue,,,,
Diabetes,weight loss,numbness in feet,slow healing wounds,frequent urination,excessive thirst,fatigue,blurred vision
Diabetes,numbness in feet,excessive thirst,frequent urination,weight loss,blurred vision,,
Pneumonia,chest pain,cough,chills,rapid breathing,shortness of breath,,
Urinary Tract Infection,chills,frequent urination,pelvic pain,cloudy urine,fever,,
Asthma,coughing,fatigue,chest tightness,wheezing,,,
Urinary Tract Infection,fever,cloudy urine,chills,,,,
Dengue Fever,fatigue,nausea,muscle pain,,,,
Diabetes,weight loss,numbness in feet,fatigue,excessive thirst,frequent urination,,
Diabetes,excessive thirst,blurred vision,numbness in feet,frequent urination,slow healing wounds,weight loss,
Typhoid,constipation,headache,loss of appetite,high fever,diarrhea,stomach pain,
Anemia,fatigue,weakness,pale skin,cold hands,shortness of breath,,
Common Cold,sore throat,fatigue,congestion,cough,runny nose,sneezing,
Malaria,headache,nausea,sweating,,,,
Anemia,shortness of breath,chest pain,pale skin,fatigue,weakness,,
Asthma,chest tightness,wheezing,coughing,fatigue,shortness of breath,,
Malaria,nausea,chills,headache,sweating,fatigue,,
Migraine,vomiting,blurred vision,sensitivity to light,,,,
Diabetes,frequent urination,slow healing wounds,weight loss,blurred vision,excessive thirst,,
Common Cold,fatigue,congestion,sneezing,runny nose,cough,mild fever,sore throat
Hypertension,fatigue,shortness of breath,nosebleed,dizziness,headache,blurred vision,
Chicken Pox,rash,loss of appetite,fever,headache,itchiness,blisters,fatigue
Typhoid,loss of appetite,headache,high fever,constipation,weakness,stomach pain,
Urinary Tract Infection,frequent urination,fever,pelvic pain,,,,
Typhoid,loss of appetite,constipation,headache,stomach pain,rash,high fever,
Migraine,fatigue,sensitivity to sound,blurred vision,severe headache,vomiting,nausea,sensitivity to light
Influenza,fatigue,cough,chills,body aches,sore throat,headache,runny nose
Hepatitis B,dark urine,jaundice,vomiting,,,,
Common Cold,sneezing,mild fever,runny nose,,,,
Migraine,fatigue,nausea,vomiting,sensitivity to sound,sensitivity to light,blurred vision,severe headache
Measles,sensitivity to light,red eyes,cough,,,,
Dengue Fever,vomiting,rash,severe headache,muscle pain,,,
Diabetes,numbness in feet,weight loss,blurred vision,excessive thirst,slow healing wounds,fatigue,frequent urination
Dengue Fever,rash,vomiting,joint pain,muscle pain,severe headache,,
Malaria,nausea,fever,headache,muscle pain,fatigue,chills,sweating
Urinary Tract Infection,chills,cloudy urine,burning urination,fever,frequent urination,pelvic pain,
Hypertension,headache,blurred vision,shortness of breath,nosebleed,chest pain,dizziness,fatigue
Migraine,sensitivity to sound,fatigue,vomiting,blurred vision,,,
Appendicitis,loss of appetite,bloating,severe abdominal pain,,,,
Gastroenteritis,fatigue,diarrhea,vomiting,fever,nausea,loss of appetite,stomach cramps
Diabetes,fatigue,excessive thirst,weight loss,slow healing wounds,frequent urination,,
Appendicitis,severe abdominal pain,bloating,vomiting,loss of appetite,nausea,,
Dengue Fever,fatigue,vomiting,high fever,nausea,severe headache,muscle pain,
Common Cold,mild fever,sneezing,sore throat,runny nose,fatigue,,
Asthma,shortness of breath,wheezing,chest tightness,,,,
COVID-19,shortness of breath,fatigue,cough,body aches,headache,loss of smell,
Hypertension,headache,nosebleed,dizziness,,,,
Chicken Pox,headache,itchiness,fever,loss of appetite,blisters,,
Diabetes,frequent urination,excessive thirst,weight loss,slow healing wounds,blurred vision,fatigue,
Dengue Fever,severe headache,vomiting,muscle pain,fatigue,nausea,high fever,
Gastroenteritis,nausea,fever,diarrhea,stomach cramps,,,
Arthritis,warmth in joints,reduced range of motion,joint pain,stiffness,swelling,,
Measles,fatigue,sensitivity to light,red eyes,rash,runny nose,fever,
Hepatitis B,jaundice,nausea,dark urine,vomiting,joint pain,,
Appendicitis,nausea,severe abdominal pain,loss of appetite,bloating,,,
Diabetes,weight loss,numbness in feet,frequent urination,blurred vision,excessive thirst,,
Common Cold,runny nose,mild fever,congestion,fatigue,sore throat,sneezing,cough
Hypertension,blurred vision,nosebleed,headache,chest pain,fatigue,shortness of breath,
Dengue Fever,high fever,nausea,fatigue,muscle pain,,,
Asthma,wheezing,fatigue,coughing,,,,
Appendicitis,severe abdominal pain,bloating,fever,vomiting,,,
Dengue Fever,severe headache,high fever,rash,,,,
Typhoid,rash,stomach pain,high fever,constipation,loss of appetite,weakness,headache
COVID-19,headache,fatigue,loss of taste,cough,shortness of breath,fever,body aches
Common Cold,sneezing,mild fever,fatigue,cough,runny nose,sore throat,congestion
Tuberculosis,fatigue,weight loss,persistent cough,chest pain,,,
Malaria,muscle pain,sweating,chills,,,,
Influenza,sore throat,chills,fever,fatigue,body aches,,
Arthritis,stiffness,reduced range of motion,fatigue,swelling,,,
Arthritis,fatigue,reduced range of motion,warmth in joints,stiffness,joint pain,,
Tuberculosis,fatigue,weight loss,persistent cough,,,,
COVID-19,headache,fatigue,shortness of breath,loss of smell,,,
Measles,fever,runny nose,fatigue,rash,red eyes,cough,sensitivity to light
Tuberculosis,night sweats,chest pain,fever,,,,
Typhoid,weakness,constipation,loss of appetite,headache,stomach pain,,
Gastroenteritis,vomiting,nausea,fever,fatigue,,,
Appendicitis,severe abdominal pain,vomiting,fever,loss of appetite,bloating,,
